jd_id,category,jd_text,cleaned_text
JD_00011,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Python, Bash, Chef, Puppet, Jenkins, Grafana
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role devop engineer company global innovation location san francisco can role devop engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification python bash chef puppet jenkins grafana work agile scrum team hand deployment containerization
JD_00012,Software Engineer,"Role: Software Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Software Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Python, SQL, ASP.NET, Flask, CI/CD, Git
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role software engineer company global innovation location san francisco can role software engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification python sql asp net flask ci cd git work agile scrum team hand deployment containerization
JD_00013,Software Engineer,"Role: Software Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Software Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Rust, gRPC, Flask, Gradle, CI/CD
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role software engineer company global innovation location san francisco can role software engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification go rust grpc flask gradle ci cd work agile scrum team hand deployment containerization
JD_00014,DevOps Engineer,"Role: DevOps Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented DevOps Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: Python, Go, Terraform, Ansible, Linux, Grafana
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role devop engineer company techcorp solution location remote hybird overview seek talented devop engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent python go terraform ansible linux grafana strong communication analytical familiarity ci cd practice cloud platform
JD_00015,Machine Learning Engineer,"Role: Machine Learning Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Machine Learning Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: CUDA, SQL, XGBoost, Keras, AWS, TensorBoard
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role machine learn engineer company techcorp solution location remote hybird overview seek talented machine learn engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent cuda sql xgboost keras aws tensorboard strong communication analytical familiarity ci cd practice cloud platform
JD_00016,Data Scientist,"Role: Data Scientist
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Data Scientist to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: Julia, SQL, Scikit-Learn, TensorFlow, Docker, MLflow
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role datum scientist company techcorp solution location remote hybird overview seek talented datum scientist join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent julia sql scikit learn tensorflow docker mlflow strong communication analytical familiarity ci cd practice cloud platform
JD_00017,Backend Developer,"Role: Backend Developer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Backend Developer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: TypeScript, Ruby, Spring Boot, Django, Git, MongoDB
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role backend developer company techcorp solution location remote hybird overview seek talented backend developer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent typescript ruby spring boot django git mongodb strong communication analytical familiarity ci cd practice cloud platform
JD_00018,Full Stack Developer,"Role: Full Stack Developer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Full Stack Developer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: Python, HTML5, Express, Django, Docker, PostgreSQL
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role full stack developer company techcorp solution location remote hybird overview seek talented full stack developer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent python html5 express django docker postgresql strong communication analytical familiarity ci cd practice cloud platform
JD_00019,DevOps Engineer,"Role: DevOps Engineer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a DevOps Engineer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Ruby, Go, Puppet, Terraform, Git, AWS
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role devop engineer company global innovation location san francisco can role devop engineer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification ruby go puppet terraform git aws work agile scrum team hand deployment containerization
JD_00020,AI Engineer,"Role: AI Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented AI Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: JavaScript, SQL, PyTorch, LlamaIndex, Docker, AWS
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role ai engineer company techcorp solution location remote hybird overview seek talented ai engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent javascript sql pytorch llamaindex docker aws strong communication analytical familiarity ci cd practice cloud platform
JD_00021,Data Analyst,"Role: Data Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- SQL, R, Matplotlib, Seaborn, Tableau, Looker
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum analyst company global innovation location san francisco can role data analyst drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification sql matplotlib seaborn tableau looker work agile scrum team hand deployment containerization
JD_00022,Frontend Developer,"Role: Frontend Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Frontend Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- HTML5, CSS3, Angular, Vue.js, Yarn, Webpack
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role frontend developer company global innovation location san francisco can role frontend developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification html5 css3 angular vue js yarn webpack work agile scrum team hand deployment containerization
JD_00023,Frontend Developer,"Role: Frontend Developer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Frontend Developer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: JavaScript, CSS3, Vue.js, Angular, Vercel, Git
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role frontend developer company techcorp solution location remote hybird overview seek talented frontend developer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent javascript css3 vue js angular vercel git strong communication analytical familiarity ci cd practice cloud platform
JD_00024,Data Analyst,"Role: Data Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Python, R, Matplotlib, NumPy, Git, Alteryx
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum analyst company global innovation location san francisco can role data analyst drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification python matplotlib numpy git alteryx work agile scrum team hand deployment containerization
JD_00025,Data Scientist,"Role: Data Scientist
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Scientist, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Julia, R, Scikit-Learn, Statsmodels, AWS, Jupyter
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum scientist company global innovation location san francisco can role data scientist drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification julia scikit learn statsmodel aws jupyter work agile scrum team hand deployment containerization
JD_00026,Machine Learning Engineer,"Role: Machine Learning Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Machine Learning Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: C++, CUDA, Keras, XGBoost, Docker, Git
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role machine learn engineer company techcorp solution location remote hybird overview seek talented machine learn engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent c++ cuda keras xgboost docker git strong communication analytical familiarity ci cd practice cloud platform
JD_00027,Frontend Developer,"Role: Frontend Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Frontend Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- TypeScript, CSS3, Vue.js, React, Vercel, npm
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role frontend developer company global innovation location san francisco can role frontend developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification typescript css3 vue js react vercel npm work agile scrum team hand deployment containerization
JD_00028,Backend Developer,"Role: Backend Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Backend Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Go, Java, Node.js, Django, Git, PostgreSQL
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role backend developer company global innovation location san francisco can role backend developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification go java node js django git postgresql work agile scrum team hand deployment containerization
JD_00029,Data Analyst,"Role: Data Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Python, SQL, Excel, Seaborn, Looker, Jira
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum analyst company global innovation location san francisco can role data analyst drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification python sql excel seaborn looker jira work agile scrum team hand deployment containerization
JD_00030,Backend Developer,"Role: Backend Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Backend Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- Ruby, TypeScript, Node.js, Ruby on Rails, RabbitMQ, GraphQL
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role backend developer company global innovation location san francisco can role backend developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualifications ruby typescript node js ruby rail rabbitmq graphql work agile scrum team hand deployment containerization
JD_00031,Data Analyst,"Role: Data Analyst
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Data Analyst to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: R, Python, Excel, Seaborn, Looker, Git
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role datum analyst company techcorp solution location remote hybird overview seek talented datum analyst join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent python excel seaborn looker git strong communication analytical familiarity ci cd practice cloud platform
JD_00032,DevOps Engineer,"Role: DevOps Engineer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented DevOps Engineer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: Go, Bash, Chef, Terraform, Kubernetes, AWS
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role devop engineer company techcorp solution location remote hybird overview seek talented devop engineer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent go bash chef terraform kubernete aws strong communication analytical familiarity ci cd practice cloud platform
JD_00033,Frontend Developer,"Role: Frontend Developer
Company: TechCorp Solutions
Location: Remote / Hybird

Overview:
We are seeking a talented Frontend Developer to join our growing product team. You will be responsible for designing, building, and deploying software systems.

Responsibilities:
- Collaborate with engineering and product management teams.
- Design, implement, and maintain code logic.
- Conduct code reviews and ensure testing practices are followed.
- Optimize systems for scalability and performance.

Requirements:
- Bachelor's or Master's degree in Computer Science, or equivalent experience.
- Experience with: CSS3, HTML5, Redux, Vue.js, Figma, Yarn
- Strong communication and analytical skills.
- Familiarity with CI/CD practices and cloud platforms.",role frontend developer company techcorp solution location remote hybird overview seek talented frontend developer join grow product team responsible design building deploy software system responsibility collaborate engineering product management team design implement maintain code logic conduct code review ensure testing practice follow optimize system scalability performance requirement bachelor master degree computer science equivalent css3 html5 redux vue js figma yarn strong communication analytical familiarity ci cd practice cloud platform
JD_00034,Full Stack Developer,"Role: Full Stack Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Full Stack Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- HTML5, SQL, Express, TailwindCSS, GitHub Actions, AWS
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role full stack developer company global innovation location san francisco can role full stack developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification html5 sql express tailwindcss action aws work agile scrum team hand deployment containerization
JD_00035,Data Analyst,"Role: Data Analyst
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Data Analyst, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- R, SQL, Matplotlib, Seaborn, Jira, Excel
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role datum analyst company global innovation location san francisco can role data analyst drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification sql matplotlib seaborn jira excel work agile scrum team hand deployment containerization
JD_00036,Backend Developer,"Role: Backend Developer
Company: Global Innovations
Location: San Francisco, CA

About the role:
As a Backend Developer, you will drive technical implementations and contribute to key roadmap items.

What you'll do:
- Solve complex engineering and software design problems.
- Implement high-quality, readable, and testable code.
- Manage systems reliability, security, and automated deployments.
- Mentor junior engineers.

Technical Qualifications:
- JavaScript, TypeScript, Spring Boot, Ruby on Rails, MongoDB, Redis
- Experience working in Agile/Scrum teams.
- Hands-on deployment and containerization experience.",role backend developer company global innovation location san francisco can role backend developer drive technical implementation contribute roadmap item solve complex engineering software design problem implement high quality readable testable code manage system reliability security automated deployment mentor junior engineer technical qualification javascript typescript spring boot ruby rail mongodb redis work agile scrum team hand deployment containerization
